name,size,samples,splits,lang
indic_nlp_corpus,7649569872,20966284,1,indic-ta
mkb,1963679,5744,1,indic-ta
open_subtitles,3107498,32,1,indic-ta
opus100,58148403,231014,3,indic-ta
pib,56254426,118759,1,indic-ta
samanantar,807047122,4289698,1,indic-ta
ted_talks_iwslt,7250261,269,1,indic-ta
indic_nlp_corpus,3633236244,15152277,1,indic-te
lot_of_indic_tweets,2293290553,7945718,1,indic-te
mkb,1263880,5177,1,indic-te
open_subtitles,2074388,22,1,indic-te
opus100,5066154,68352,3,indic-te
pib,20719695,44888,1,indic-te
samanantar,717946490,4661986,1,indic-te
ted_talks_iwslt,1555952,66,1,indic-te
mkb,175746,1019,1,indic-ur
open_subtitles,2226591,35,1,indic-ur
opus100,169163468,757913,3,indic-ur
pib,64040641,202578,1,indic-ur
ted_talks_iwslt,3707396,276,1,indic-ur
ffr,2791811,54749,1,nigercongo-fon
masakhaner,364355,3193,3,nigercongo-ig
opus100,1064925,22101,3,nigercongo-ig
masakhaner,327719,2035,3,nigercongo-lg
masakhaner,464275,3023,3,nigercongo-rw
opus100,6745964,177823,3,nigercongo-rw
masakhaner,492839,3013,3,nigercongo-sw
swahili_news,65341110,29545,2,nigercongo-sw
ted_talks_iwslt,898858,94,1,nigercongo-sw
masakhaner,250813,2677,3,nigercongo-wo
book_dash_books,37703,16,1,nigercongo-xh
opus100,27182251,443671,3,nigercongo-xh
masakhaner,549211,3121,3,nigercongo-yo
opus100,617464,10375,1,nigercongo-yo
book_dash_books,4567,1,1,nigercongo-zu
opus100,1621138,42616,3,nigercongo-zu
brwac,17890965850,3530796,1,pt
multilingual_knowledge_questions_answers,770965,10000,1,pt
open_subtitles,3834765590,131050,1,pt
opus100,60766355,1004000,3,pt
project_gutenberg,109306838,585,1,pt
qedcorpus,15558008,2341,1,pt
scielo,490399371,897,1,pt
ted_talks_iwslt,111984427,9296,1,pt
the_pile_europarl,359929387,3989,1,pt
binhvq_news_corpus,29924668961,162200680,1,vi
data_on_covid_19_news_coverage_in_vietnam,81188778,14952,1,vi
multilingual_knowledge_questions_answers,859822,10000,1,vi
open_subtitles,207368356,5165,1,vi
opus100,46780062,1004000,3,vi
ted_talks_iwslt,58677946,3980,1,vi
uit_vsmec,541270,6927,3,vi
vietai_sat,731911219,4163853,1,vi
vietnamese_poetry,106849374,171188,1,vi
vietnamese_students_feedback,1673707,16175,1,vi
vinbigdata_asr_vlsp_2020,11019228,56427,1,vi
vinbigdata_monolingual_vlsp_2020,3723552415,20000000,1,vi
vinbigdata_mt_vlsp_2020,349777700,4147925,1,vi
vntq_corpus_big,255948742,1765377,1,vi
du_reader,3405319606,13884069,1,zh
multi_un_2,1373303462,69360,1,zh
open_subtitles,893297866,29074,1,zh
opus100,91861208,1004000,3,zh
project_gutenberg,166964785,430,1,zh
ted_talks_iwslt,59882658,5642,1,zh
uncorpus,2295661459,95923,1,zh
wudaocorpora,203958584977,59132213,1,zh
multilingual_knowledge_questions_answers,698399,10000,1,zh-CN
multilingual_knowledge_questions_answers,673367,10000,1,zh-HK
multilingual_knowledge_questions_answers,682081,10000,1,zh-TW
qedcorpus,5434751,1891,1,zhs
qedcorpus,4627768,1354,1,zht
bloom,1470,4,1,zh
bloom,12740152,6650,1,en
bloom,2000577,701,1,fr
bloom,474211,277,1,id
bloom,544621,197,1,pt
bloom,1938115,1092,1,es
bloom,12115,4,1,vi
bloom,389,1,1,nigercongo-ak
bloom,43499,13,1,nigercongo-bm
bloom,11297,2,1,nigercongo-fon
bloom,53765,25,1,nigercongo-zu
bloom,973,1,1,nigercongo-rw
bloom,31832,11,1,nigercongo-ki
bloom,351,1,1,nigercongo-ln
bloom,15329,2,1,nigercongo-lg
bloom,16395,7,1,nigercongo-nso
bloom,1305,2,1,nigercongo-st
bloom,6171,3,1,nigercongo-tn
bloom,6685,10,1,nigercongo-sw
bloom,1008,2,1,nigercongo-xh
bloom,1647,5,1,nigercongo-ts
bloom,968338,236,1,indic-bn
bloom,16088,6,1,indic-gu
bloom,97175,21,1,indic-hi
bloom,973,1,1,indic-kn
bloom,52796,15,1,indic-ml
bloom,28707,10,1,indic-mr
bloom,3185,1,1,indic-or
bloom,12128,4,1,indic-pa
bloom,364,2,1,indic-te
bloom,51721,13,1,indic-ta
bloom,11080,10,1,indic-ur
urdu-monolingual-corpus,798271364,5464575,1,indic-ur
leipzig_wortschatz_urdu_newscrawl_2016_sentences,646473354,2716893,1,indic-ur
leipzig_wortschatz_urdu-pk_web_2019_sentences,1786077653,8761491,1,indic-ur
wikipedia,2924624512,2157489,1,ar
wikipedia,1822564157,793016,1,ca
wikipedia,9988396576,3252407,1,en
wikipedia,2716315229,969897,1,es
wikipedia,489873420,491854,1,eu
wikipedia,3362557896,1363865,1,fr
wikipedia,324044339,173567,1,id
wikipedia,70625772,10069,1,indic-as
wikipedia,770588385,190740,1,indic-bn
wikipedia,116956704,29959,1,indic-gu
wikipedia,615409211,190539,1,indic-hi
wikipedia,362405065,28588,1,indic-kn
wikipedia,440123076,142766,1,indic-ml
wikipedia,228312272,135991,1,indic-mr
wikipedia,67026650,32245,1,indic-or
wikipedia,153364890,47261,1,indic-pa
wikipedia,739279705,179587,1,indic-ta
wikipedia,657179925,100711,1,indic-te
wikipedia,322485666,361179,1,indic-ur
wikipedia,732885,649,1,nigercongo-ak
wikipedia,403820,1178,1,nigercongo-bm
wikipedia,5421596,4272,1,nigercongo-ig
wikipedia,406712,1631,1,nigercongo-ki
wikipedia,4406769,2565,1,nigercongo-lg
wikipedia,1849692,3395,1,nigercongo-ln
wikipedia,2206341,8554,1,nigercongo-nso
wikipedia,1232783,978,1,nigercongo-ny
wikipedia,419051,757,1,nigercongo-rn
wikipedia,3682213,3247,1,nigercongo-rw
wikipedia,7747115,7887,1,nigercongo-sn
wikipedia,788881,981,1,nigercongo-st
wikipedia,63751555,69272,1,nigercongo-sw
wikipedia,1561650,855,1,nigercongo-tn
wikipedia,749860,728,1,nigercongo-ts
wikipedia,204489,775,1,nigercongo-tum
wikipedia,1686246,1730,1,nigercongo-tw
wikipedia,3463337,1697,1,nigercongo-wo
wikipedia,13901137,33826,1,nigercongo-yo
wikipedia,5861874,10785,1,nigercongo-zu
wikipedia,1085161130,451501,1,pt
wikipedia,493825495,162392,1,vi
wikipedia,940381872,610326,1,zh-cn
wikipedia,941050948,613440,1,zh-tw
wikibooks_filtered,5334061,1674,1,indic-ta
wikiversity_filtered,306014462,63331,1,en
wikibooks_filtered,195936,140,1,indic-pa
wikivoyage_filtered,52912126,16124,1,fr
wikivoyage_filtered,21455344,10230,1,zh
wikisource_filtered,159989119,37398,1,vi
wikibooks_filtered,697765105,144006,1,en
wiktionary_filtered,538210079,1974235,1,zh
wiktionary_filtered,2434446,14784,1,nigercongo-sw
wikibooks_filtered,12455461,4129,1,eu
wikivoyage_filtered,43656153,5802,1,es
wikiversity_filtered,21033636,4622,1,es
wikiquote_filtered,22685411,15751,1,pt
wikivoyage_filtered,2100294,235,1,indic-hi
wikibooks_filtered,145125988,33072,1,fr
wikiquote_filtered,781607,782,1,eu
wikisource_filtered,133848234,46579,1,indic-pa
wikisource_filtered,1256182810,168026,1,ar
wikisource_filtered,605434589,118460,1,indic-te
wikibooks_filtered,2791342,1072,1,indic-bn
wikiquote_filtered,1826318,791,1,indic-te
wiktionary_filtered,472171328,1817067,1,es
wikimedia_filtered,2789807,1006,1,ca
wiktionary_filtered,93109622,208542,1,indic-hi
wikinews_filtered,83983930,54387,1,en
wiktionary_filtered,262427317,218620,1,id
wiktionary_filtered,72442406,143926,1,indic-or
wikisource_filtered,339970574,63190,1,indic-mr
wikisource_filtered,276430207,130543,1,pt
wikiquote_filtered,2182721,1133,1,indic-gu
wikibooks_filtered,234348,13,1,nigercongo-sw
wikiquote_filtered,4451067,696,1,vi
wikibooks_filtered,6661369,384,1,indic-te
wikiquote_filtered,34816472,11455,1,fr
wikinews_filtered,90369686,49043,1,pt
wiktionary_filtered,7326237,30045,1,indic-ur
wikibooks_filtered,7780,4,1,nigercongo-bm
wiktionary_filtered,80125,682,1,nigercongo-ln
wikinews_filtered,34612645,23844,1,es
wikibooks_filtered,24703317,9927,1,id
wiktionary_filtered,2170092,3557,1,indic-mr
wiktionary_filtered,40982891,133991,1,indic-ml
wikisource_filtered,61063026,9945,1,indic-or
wikiversity_filtered,32719585,8293,1,pt
wikisource_filtered,397860584,61938,1,indic-ml
wiktionary_filtered,4180,18,1,indic-as
wiktionary_filtered,215759641,576368,1,ca
wikiquote_filtered,10226823,7615,1,ca
wikiquote_filtered,900604,744,1,indic-ur
wikinews_filtered,37951837,16273,1,ar
wiktionary_filtered,24292,138,1,nigercongo-tn
wiktionary_filtered,649756,1631,1,nigercongo-st
wikiquote_filtered,5323092,546,1,indic-hi
wiktionary_filtered,16945542,30364,1,indic-pa
wikibooks_filtered,58859038,17528,1,pt
wikinews_filtered,19559751,6395,1,indic-ta
wiktionary_filtered,184594,1186,1,nigercongo-zu
wikiquote_filtered,2489362,3610,1,id
wiktionary_filtered,61997626,266610,1,indic-kn
wiktionary_filtered,23642491,72215,1,eu
wiktionary_filtered,13032509,45499,1,indic-bn
wikisource_filtered,221645918,54325,1,indic-as
wiktionary_filtered,93663644,189047,1,indic-te
wikisource_filtered,219522315,45611,1,indic-gu
wiktionary_filtered,694066,3409,1,nigercongo-wo
wikinews_filtered,16730924,9500,1,ca
wikisource_filtered,2928007533,714594,1,indic-bn
wikiversity_filtered,34936693,7077,1,zh
wikibooks_filtered,71905347,21288,1,vi
wikiquote_filtered,659740,102,1,indic-mr
wikinews_filtered,48800580,31061,1,zh
wikisource_filtered,1803374524,443328,1,indic-ta
wikisource_filtered,88146406,21016,1,id
wikiquote_filtered,6710133,1550,1,indic-ta
wikisource_filtered,12863943339,3511683,1,fr
wikisource_filtered,1038681167,248167,1,es
wikibooks_filtered,14120300,1964,1,ar
wikivoyage_filtered,11128881,3605,1,vi
wikisource_filtered,92830936,47899,1,ca
wikivoyage_filtered,266807036,62339,1,en
wikiquote_filtered,1448424,412,1,indic-kn
wiktionary_filtered,2524311296,6924944,1,fr
wikiquote_filtered,403936398,68516,1,en
wikiversity_filtered,5353500,1460,1,ar
wikimedia_filtered,1663815,432,1,pt
wiktionary_filtered,103731,373,1,nigercongo-ts
wikiversity_filtered,1333291,517,1,indic-hi
wikibooks_filtered,42662968,3167,1,indic-hi
wikibooks_filtered,13248006,5526,1,ca
wikibooks_filtered,1967533,328,1,indic-ml
wikinews_filtered,66531900,44646,1,fr
wikiquote_filtered,21791340,11667,1,es
wiktionary_filtered,56547744,83023,1,ar
wikiquote_filtered,3224572,647,1,indic-ml
wikibooks_filtered,35301468,9324,1,zh
wikisource_filtered,32661422,6161,1,eu
wikiquote_filtered,14377874,5097,1,zh
wikiquote_filtered,12225315,5374,1,ar
wiktionary_filtered,259656599,650077,1,indic-ta
wikimedia_filtered,15634167,6625,1,id
wiktionary_filtered,1575101,3079,1,indic-gu
wikiversity_filtered,128961195,34289,1,fr
wikisource_filtered,449264331,85494,1,indic-kn
wikiquote_filtered,4138,18,1,nigercongo-wo
wikivoyage_filtered,12120467,7909,1,pt
wikibooks_filtered,4987734,495,1,indic-ur
wikibooks_filtered,102475942,22308,1,es
wiktionary_filtered,129191579,348706,1,vi
wikibooks_filtered,2930647,410,1,indic-mr
wikimedia_filtered,96873,27,1,indic-hi
wiktionary_filtered,105547,421,1,nigercongo-rw
wikivoyage_filtered,7338989,1338,1,indic-bn
wiktionary_filtered,178957580,417582,1,pt
wikisource_filtered,707730338,149477,1,indic-hi
wiktionary_filtered,3813930779,8607928,1,en
github-no-gpl,158614921210,21484915,1,code
s2orc_ai2_abstracts,117717603689,76556428,1,en
no_code_stackexchange,5833262267,2419967,1,en
stackexchange,29479217221,13202508,1,code
aggregated,529575864,1197770,1,nigercongo
